Age,Income,Education,EmploymentType,MaritalStatus,LoanAmount,InterestRate,LoanTerm,LoanPurpose,CreditScore,DTIRatio,MonthsEmployed,NumCreditLines,HasMortgage,HasDependents,HasCoSigner
34,85000,Bachelor's,Full-time,Married,500000,9.5,60,Home,720,0.28,48,3,No,Yes,No
27,42000,High School,Part-time,Single,150000,14.2,36,Personal,580,0.45,18,2,No,No,Yes
45,120000,Master's,Full-time,Married,1200000,7.8,120,Home,780,0.22,96,5,Yes,Yes,No
52,95000,Bachelor's,Self-employed,Divorced,300000,11.0,48,Business,660,0.38,120,4,Yes,No,No
29,38000,High School,Unemployed,Single,80000,18.5,24,Personal,510,0.55,0,1,No,No,Yes
38,150000,PhD,Full-time,Married,2000000,6.9,180,Home,810,0.18,84,6,Yes,Yes,No
41,67000,Bachelor's,Full-time,Married,400000,10.5,60,Auto,690,0.33,60,3,No,Yes,No
23,31000,High School,Part-time,Single,50000,16.0,24,Education,540,0.50,12,1,No,No,No
56,200000,Master's,Full-time,Married,3000000,7.2,240,Home,800,0.20,180,7,Yes,Yes,No
33,55000,Bachelor's,Self-employed,Single,250000,12.5,48,Business,620,0.42,36,2,No,No,Yes
47,88000,Master's,Full-time,Divorced,600000,9.0,72,Home,740,0.30,108,4,Yes,No,No
30,47000,Bachelor's,Full-time,Married,180000,11.8,36,Auto,670,0.36,40,2,No,Yes,No
25,29000,High School,Part-time,Single,40000,19.0,12,Personal,490,0.60,8,1,No,No,Yes
60,175000,PhD,Full-time,Married,1500000,6.5,120,Home,820,0.15,240,8,Yes,Yes,No
36,72000,Bachelor's,Full-time,Single,350000,10.0,60,Business,700,0.32,54,3,No,No,No
43,61000,High School,Self-employed,Married,200000,13.5,48,Business,590,0.48,60,2,Yes,Yes,No
28,53000,Master's,Full-time,Single,100000,8.5,36,Education,750,0.25,30,2,No,No,No
50,110000,Bachelor's,Full-time,Married,800000,8.0,96,Home,760,0.27,144,5,Yes,Yes,No
32,44000,High School,Part-time,Divorced,120000,15.5,36,Personal,555,0.52,20,2,No,No,Yes
39,98000,Master's,Full-time,Married,700000,9.2,84,Home,730,0.29,72,4,No,Yes,No
